year,month,day,hour,minute,second,AN311,AN422,AN423,TP1721,RH1722,BA1723,TP1711,RH1712,BA1713,MM252,MM261,MM262,MM263,MM264,MM256,MM211,CM861,CR863,P_864,TC862,WM868,AMP1_IR,AMP2_IR,DMP3_IR,DMP4_IR,AMP5_IR,F_SIDE,V,Risk_Level
2014,3,2,0,0,0,3.2,1.6,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,6,4,0,0,0,LOW
2014,3,2,0,0,1,3.2,1.6,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,2,3.2,1.6,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,LOW
2014,3,2,0,0,3,3.2,1.6,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,LOW
2014,3,2,0,0,4,3.2,1.6,1.4,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,LOW
2014,3,2,0,0,5,3.2,1.6,1.5,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,5,6,4,0,0,0,MEDIUM
2014,3,2,0,0,6,3.2,1.6,1.5,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,7,3.2,1.6,1.5,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,8,3.2,1.6,1.5,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,9,3.2,1.6,1.5,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,0,10,3.2,1.6,1.5,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,5,4,0,0,0,LOW
2014,3,2,0,0,11,3.2,1.6,1.5,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,5,5,4,0,0,0,MEDIUM
2014,3,2,0,0,12,3.2,1.6,1.5,24.7,42,1097.2,27.3,54,1096.7,0.1,0.1,0.1,0,0.1,0.3,0.7,0,0,0,0,0,5,4,6,4,0,0,0,MEDIUM
